Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),"Actual Airspeed (m/s), Horisontal Distance (m)"
19.111151456832886,63.21632048911712,0.01930644751595878,16.66,16.01930644751596,14.74772826418662,63.23562693663308
19.312193393707275,63.21632048911712,3.2421459403957016,16.66,19.2421459403957,14.502978639486503,66.45846642951282
19.51315689086914,63.21632048911712,2.648633774763937,16.213,18.648633774763937,14.589216293242036,65.86495426388106
19.714437246322632,63.21632048911712,1.667271269473332,15.792,17.667271269473332,14.885072756883668,64.88359175859046
19.91562271118164,63.21632048911712,0.3192462049780218,15.493,16.319246204978022,15.44143833246006,63.535566694095145
20.11680006980896,63.21632048911712,-1.28510308436352,15.379,14.71489691563648,16.07520533820926,61.9312174047536
20.31788182258606,63.21632048911712,1.938310927956124,15.379,17.938310927956124,16.58221894280862,65.15463141707325
20.519103050231934,63.21632048911712,0.2558987141886462,15.457,16.255898714188646,17.115802620067207,63.47221920330577
20.720174312591553,63.21632048911712,-1.175193429701359,15.673,14.824806570298641,17.473621252547908,62.041127059415764
20.9211528301239,63.21632048911712,-2.3824849874950758,15.953,14.0,17.59354276925024,60.83383550162205
21.12214207649231,63.21632048911712,0.8395311026785919,15.953,16.839531102678592,17.68947998261211,64.05585159179572
21.323155641555786,63.21632048911712,-0.1094996860742441,16.224,15.890500313925756,17.61845181445883,63.10682080304288
21.52484107017517,63.21632048911712,-0.7476906667315859,16.434,15.252309333268414,17.326870139921557,62.46862982238554
21.726088047027588,63.21632048911712,-1.2502224790082082,16.561,14.749777520991792,16.95948099810668,61.966098010108915
21.927141427993774,63.21632048911712,-1.651968598921222,16.589,14.348031401078778,16.48816489949853,61.5643518901959
22.128177881240845,63.21632048911712,1.5710600162214234,16.589,17.571060016221423,16.11111202061201,64.78738050533855
22.329240798950195,63.21632048911712,1.355549038646032,16.511,17.355549038646032,15.706300657749372,64.57186952776316
22.530474424362183,63.21632048911712,1.2365332918665075,16.333,17.236533291866508,15.271292815017858,64.45285378098363
22.731502771377563,63.21632048911712,1.0179571656126853,16.065,17.017957165612685,14.945916660156376,64.23427765472981
22.932786464691162,63.21632048911712,0.41186486948744516,15.737,16.411864869487445,14.937014395019634,63.62818535860457
23.133860111236572,63.21632048911712,3.6350438549095827,15.737,19.635043854909583,14.929892582910238,66.8513643440267
23.334874153137207,63.21632048911712,2.673290558302739,15.42,18.67329055830274,15.139192043317937,65.88961104741986
23.53597593307495,63.21632048911712,1.4385652316714044,15.199,17.438565231671404,15.592826412974663,64.65488572078853
23.737143516540527,63.21632048911712,-0.009422618060426657,15.128,15.990577381939573,16.120268286751802,63.2068978710567
23.93859624862671,63.21632048911712,3.220004659706447,15.128,19.220004659706447,16.542221785773513,66.43632514882357
24.140137910842896,63.21632048911712,1.5908077324340866,15.221,17.590807732434087,17.074677086821936,64.80712822155121
24.3411226272583,63.21632048911712,-0.050790519824879254,15.458,15.94920948017512,17.53325012282669,63.165529969292244
24.542153120040894,63.21632048911712,-1.5406734872318495,15.785,14.45932651276815,17.86453573668909,61.675647001885274
24.743157625198364,63.21632048911712,-3.136307880723443,16.173,14.0,18.15171617480049,60.08001260839368
24.94460129737854,63.21632048911712,0.09311448926113997,16.173,16.09311448926114,18.38146052528961,63.30943497837826
25.145785808563232,63.21632048911712,-1.302962813160505,16.568,14.697037186839495,18.448993188298097,61.91335767595662
25.347543001174927,63.21632048911712,-2.4031612076100117,16.921,14.0,18.360395417337696,60.81315928150711
25.55015230178833,63.21632048911712,-3.2738091739676705,17.202,14.0,18.072031391243204,59.94251131514945
25.751176595687866,63.21632048911712,-3.9689467803959104,17.382,14.0,17.702258978351008,59.24737370872121
25.95236301422119,63.21632048911712,-0.7435781706759315,17.382,15.256421829324069,17.40644104803725,62.47274231844119
26.153384923934937,63.21632048911712,-1.2795266150879243,17.449,14.720473384912076,16.98168417235314,61.9367938740292
26.35456895828247,63.21632048911712,-1.6607054354978175,17.401,14.339294564502183,16.526545496146674,61.555615053619306
26.55584979057312,63.21632048911712,-1.9012563557228717,17.242,14.098743644277128,16.014182067998885,61.31506413339425
26.75691032409668,63.21632048911712,1.321956405777783,17.242,17.321956405777783,15.604291325480652,64.5382768948949
26.957950353622437,63.21632048911712,1.213436820108356,16.98,17.213436820108356,15.190479950643311,64.42975730922548
27.159135818481445,63.21632048911712,1.1866550848225756,16.626,17.186655084822576,14.775128330021486,64.4029755739397
