Time (s),Step Airspeed Command (m/s),Distance Error (m)
8.753910779953003,17.0,40.96083718912689,12.074
8.897361278533936,17.0,42.560634848179575,12.074
9.040858030319214,17.0,41.965615502252454,11.942
9.18418550491333,17.0,43.565428252575074,11.942
9.3275625705719,17.0,41.30412620523099,11.829
9.470916986465454,17.0,44.50376970269162,11.829
9.614267587661743,17.0,42.10935448784537,11.75
9.757631301879883,17.0,41.514578010703026,11.689
9.901261806488037,17.0,43.114410359119795,11.689
10.044631958007812,21.0,42.37545508497756,11.642
10.188518285751343,21.0,43.975289806349814,11.642
10.331856489181519,21.0,41.63650053766226,11.613
10.475364446640015,21.0,44.83617308878645,11.613
10.618766784667969,21.0,42.5973182647809,11.584
10.762114763259888,21.0,41.75860138182027,11.573
10.90556526184082,21.0,43.35843395559008,11.573
11.048944473266602,21.0,40.60924119423426,11.591
11.192677974700928,21.0,43.80890217497076,11.591
11.336159467697144,21.0,40.86001134839435,11.669
11.4795663356781,21.0,44.05966926819686,11.669
11.623356819152832,21.0,40.833419737558806,11.847
11.766743898391724,21.0,39.02943972140441,12.139
11.910075902938843,21.0,40.62926345781233,12.139
12.05337405204773,21.0,37.08129410435289,12.542
12.196981191635132,21.0,40.28093348097755,12.542
12.340343952178955,21.0,36.69968993637508,13.034
12.483939409255981,21.0,39.89932314084395,13.034
12.627281904220581,21.0,36.35144018456373,13.589
12.770808458328247,21.0,32.84833058330271,14.178
12.91434097290039,21.0,36.04789160125421,14.178
13.05832028388977,21.0,32.622689229832396,14.767
13.201898574829102,21.0,35.82218786627541,14.767
13.345380544662476,21.0,32.475090865836926,15.332
13.48872709274292,21.0,35.67449377803446,15.332
13.63202691078186,21.0,32.38348040253259,15.853
13.775341749191284,21.0,33.98310129099022,15.853
13.91867709159851,21.0,32.35892041988487,16.319
14.06204104423523,21.0,29.24694232035368,16.718
14.205348491668701,21.0,32.445635852362166,16.718
14.348693609237671,21.0,29.489544550765704,17.039
14.492610454559326,21.0,31.088721699212265,17.039
14.636018514633179,21.0,29.676743893687068,17.295
14.779380083084106,21.0,31.27577409131061,17.295
14.922785520553589,21.0,30.063484229509598,17.467
15.066193342208862,21.0,27.418782706817712,17.555
15.20954704284668,21.0,29.0173458713689,17.555
15.352931499481201,21.0,27.82714982961094,17.577
15.496333599090576,21.0,29.425608465039193,17.577
15.63979434967041,21.0,28.29020881409822,17.542
15.783150434494019,21.0,29.888608830253517,17.542
15.927753686904907,21.0,28.973770073828355,17.453
16.071213245391846,21.0,30.572194284234424,17.453
16.214754581451416,21.0,28.025382185080428,17.313
16.358086824417114,21.0,27.164902799972136,17.131
16.5016188621521,21.0,28.763142778386463,17.131
16.645004272460938,21.0,27.95644119134479,16.906
16.788338899612427,21.0,29.554870964559665,16.906
16.931713581085205,21.0,27.071762373356723,16.651
17.075018644332886,21.0,30.26884335591757,16.651
17.218341827392578,21.0,27.884310798005256,16.377
17.362144470214844,21.0,26.99803003193152,16.089
17.505691528320312,21.0,28.596882139820664,16.089
17.649052143096924,21.0,27.73278933718804,15.808
17.7923903465271,21.0,29.33188365125078,15.808
17.935799837112427,21.0,26.812708147285967,15.534
18.079182147979736,21.0,30.0113062816245,15.534
18.222575902938843,21.0,27.414855540622604,15.277
18.366003036499023,21.0,26.4734927860997,15.039
18.50933575630188,21.0,28.073104203608285,15.039
18.652685165405273,21.0,25.299763896460988,14.812
18.7967369556427,21.0,28.499223232309227,14.812
18.940102100372314,21.0,25.64882334709941,14.617
19.083351850509644,21.0,28.84844822886387,14.617
19.22674584388733,21.0,26.131884350483976,14.461
19.370222330093384,21.0,24.915821093046848,14.325
19.51365566253662,21.0,26.51567223917328,14.325
19.657008171081543,21.0,23.4338624364369,14.217
19.80034899711609,21.0,26.633529311194128,14.217
19.943774223327637,21.0,23.563027854626814,14.157
20.087172031402588,21.0,26.76263927544306,14.157
