Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),Actual Airspeed (m/s),Distance (m)
294.7988209724426,20.0,-1.5781543870955126,20.215,14.421845612904487,16.96029281616211,18.421845612904487
294.9998621940613,20.0,-2.4834699615731246,20.294,14.0,16.084800720214844,17.516530038426875
295.20094323158264,20.0,-3.2334604782799055,20.342,14.0,15.919389724731445,16.766539521720095
295.40203952789307,20.0,-4.138776006923177,20.362,14.0,16.95428466796875,15.861223993076823
295.6029555797577,20.0,-5.132848675467532,20.367,14.0,16.548290252685547,14.867151324532468
295.80403304100037,20.0,-3.5329970630992875,20.367,14.0,16.548290252685547,16.467002936900712
296.0055778026581,20.0,-4.338460742242395,20.357,14.0,15.786922454833984,15.661539257757605
296.2068545818329,20.0,-5.077356526833887,20.329,14.0,15.963053703308105,14.922643473166113
296.4083070755005,20.0,-5.816252293254218,20.279,14.0,15.451031684875488,14.183747706745782
296.6095254421234,20.0,-6.422012298971762,20.197,14.0,15.272439002990723,13.577987701028238
296.81080436706543,20.0,-3.2223090871428255,20.197,14.0,15.272439002990723,16.777690912857175
297.01202750205994,20.0,-3.872447655529072,20.086,14.0,15.332223892211914,16.127552344470928
297.21331238746643,20.0,-4.4449236908453305,19.953,14.0,15.063684463500977,15.55507630915467
297.41449189186096,20.0,-5.028494351423618,19.799,14.0,15.185907363891602,14.971505648576382
297.61578488349915,20.0,-5.6231596389684295,19.634,14.0,15.27800464630127,14.37684036103157
297.81762862205505,20.0,-2.4234564388490902,19.634,14.0,15.27800464630127,17.57654356115091
298.01892924308777,20.0,-3.0514056421328313,19.468,14.0,15.400394439697266,16.94859435786717
298.22040033340454,20.0,-3.712638760105378,19.311,14.0,15.531767845153809,16.287361239894622
298.4215371608734,20.0,-4.3960611491575285,19.172,14.0,15.653609275817871,15.603938850842471
298.62252497673035,20.0,-1.196357957064091,19.172,14.803642042935909,15.653609275817871,18.80364204293591
