Time (s),Airspeed Input (m/s),Distance Output (m),Altitude (m),Actual Airspeed (m/s)
39.67541980743408,14.0,144.20973522388755,20.823,12.909110069274902
39.87646293640137,14.0,144.09209462998342,20.809,12.919536590576172
40.07797694206238,14.0,143.97448069362213,20.788,12.944442749023438
40.27918457984924,14.0,147.1741724806691,20.788,12.944442749023438
40.48163080215454,14.0,147.03436920271918,20.763,12.996979713439941
40.68261909484863,14.0,145.28362533546186,20.739,13.046761512756348
40.88409376144409,14.0,145.12163277153792,20.718,13.088434219360352
41.08543682098389,14.0,148.3213247615394,20.718,13.088434219360352
41.28665852546692,14.0,148.14828994469048,20.702,13.11853313446045
41.48902177810669,14.0,147.96413519670529,20.694,13.184466361999512
41.69071626663208,14.0,147.76891467272733,20.692,13.218765258789062
41.892162561416626,14.0,150.96860424509313,20.692,13.218765258789062
42.09386610984802,14.0,150.76229019451088,20.697,13.260391235351562
42.29543948173523,14.0,150.55594860463185,20.708,13.277384757995605
42.49720501899719,14.0,148.73870029394578,20.722,13.31571102142334
42.69842791557312,14.0,151.93838693261017,20.722,13.31571102142334
42.89965605735779,14.0,151.72095223808728,20.74,13.330503463745117
43.10087871551514,14.0,151.50348683939222,20.76,13.338207244873047
43.30236482620239,14.0,151.28605286555506,20.782,13.341894149780273
43.50430679321289,14.0,154.48573882006121,20.782,13.341894149780273
43.7057785987854,14.0,152.65733575598844,20.802,13.343387603759766
43.90714931488037,14.0,152.43983927013898,20.82,13.35456657409668
44.108461141586304,14.0,152.22237392512136,20.836,13.339006423950195
44.311052322387695,14.0,155.42206075096215,20.836,13.339006423950195
44.512322425842285,14.0,155.2045953761241,20.85,13.34974479675293
44.713717460632324,14.0,154.9760353721997,20.86,13.342864990234375
44.91531777381897,14.0,154.75857003873554,20.867,13.349271774291992
45.116504192352295,14.0,157.9582574475875,20.867,13.349271774291992
45.318963289260864,14.0,157.74079208465605,20.871,13.348072052001953
45.520681381225586,14.0,155.91238834524881,20.872,13.36267375946045
45.72201657295227,14.0,155.68382839651068,20.871,13.380331039428711
45.923285722732544,14.0,158.88351600867256,20.871,13.380331039428711
46.124330282211304,14.0,158.65498597728543,20.87,13.38548469543457
46.325677156448364,14.0,158.4153619277593,20.867,13.392553329467773
46.527194023132324,14.0,158.18683315870953,20.863,13.40014934539795
46.72840213775635,14.0,161.38651949004668,20.863,13.40014934539795
46.92973613739014,14.0,161.14689602623505,20.859,13.409126281738281
47.130919218063354,14.0,160.89617854649987,20.853,13.431334495544434
47.33226156234741,14.0,159.05668165265178,20.847,13.438724517822266
47.53344440460205,14.0,162.25636693638032,20.847,13.438724517822266
47.73472595214844,14.0,162.01671257887992,20.843,13.453845024108887
47.93588876724243,14.0,161.7548689538327,20.84,13.481575965881348
48.137240409851074,14.0,161.493025351913,20.838,13.488152503967285
48.33844804763794,14.0,164.69271121723804,20.838,13.488152503967285
48.5397515296936,14.0,164.43083666915197,20.837,13.512947082519531
48.741183280944824,14.0,164.16896254797422,20.836,13.503515243530273
48.942248582839966,14.0,162.30727531247123,20.834,13.515854835510254
49.144148111343384,14.0,165.5069625652547,20.834,13.515854835510254
49.34543299674988,14.0,165.234024212744,20.833,13.512548446655273
49.546990394592285,14.0,164.96108588162997,20.832,13.534589767456055
49.748263359069824,14.0,164.68814757544712,20.831,13.542784690856934
49.94941210746765,14.0,164.41523969597955,20.83,13.545300483703613
50.1504328250885,14.0,167.6149268134245,20.83,13.545300483703613
50.35150146484375,14.0,167.3420189099799,20.828,13.553532600402832
50.55347394943237,14.0,167.05801697825473,20.825,13.563222885131836
50.75484347343445,14.0,166.78511031272336,20.822,13.554325103759766
50.95638561248779,14.0,169.98479617866735,20.822,13.554325103759766
51.15734601020813,14.0,168.10095213332713,20.817,13.569250106811523
51.358417987823486,14.0,167.81691948178906,20.81,13.5767822265625
51.55944347381592,14.0,167.53288685628246,20.804,13.587380409240723
51.76086163520813,14.0,170.73257229141885,20.804,13.587380409240723
51.96235132217407,14.0,170.437444977001,20.798,13.608908653259277
52.16387891769409,14.0,170.1534123306359,20.793,13.627971649169922
52.364943504333496,14.0,169.85825368552452,20.786,13.633808135986328
52.56667494773865,14.0,173.05794022650858,20.786,13.633808135986328
52.76781630516052,14.0,172.7628128632897,20.779,13.629725456237793
52.96910214424133,14.0,170.86781152399237,20.771,13.63821792602539
53.17043685913086,14.0,170.56155925796108,20.764,13.634143829345703
53.37173342704773,14.0,173.76124707052983,20.764,13.634143829345703
53.57281541824341,14.0,173.4661196483848,20.758,13.640124320983887
53.77429723739624,14.0,173.15989759347687,20.753,13.658731460571289
53.97601890563965,14.0,172.85367556396918,20.746,13.65640926361084
54.177424907684326,14.0,176.05336382318896,20.746,13.65640926361084
54.378427028656006,14.0,175.74714175568695,20.739,13.674903869628906
54.58031463623047,14.0,175.4409491551892,20.732,13.691622734069824
54.78217172622681,14.0,175.1347571502637,20.724,13.700739860534668
54.98343276977539,14.0,178.33444476913274,20.724,13.700739860534668
55.18472909927368,14.0,176.41731452211835,20.715,13.713308334350586
55.38581418991089,14.0,176.11112341153063,20.706,13.708824157714844
55.58706545829773,14.0,175.79380699808831,20.697,13.697870254516602
55.788427114486694,14.0,175.47649061079056,20.689,13.708109855651855
55.989428758621216,14.0,178.67617719601947,20.689,13.708109855651855
56.190619468688965,14.0,178.35886076511343,20.682,13.716665267944336
56.39176154136658,14.0,178.0415443599985,20.674,13.720281600952148
56.59293603897095,14.0,177.72419752236542,20.667,13.726984024047852
56.794169187545776,14.0,180.92388510181084,20.667,13.726984024047852
56.995742321014404,14.0,178.99560036186003,20.659,13.749116897583008
57.19699287414551,14.0,178.6671598695792,20.651,13.742122650146484
57.39835333824158,14.0,178.33874871508806,20.644,13.763622283935547
57.59946322441101,14.0,181.53843745731163,20.644,13.763622283935547
57.80047798156738,14.0,181.2100262687914,20.639,13.77957534790039
58.00184512138367,14.0,180.88161510397694,20.634,13.778419494628906
58.203224897384644,14.0,180.50885442040166,20.628,13.773696899414062
58.404420375823975,14.0,183.70854303662955,20.628,13.773696899414062
58.605464220047,14.0,183.36903726032492,20.621,13.778882026672363
58.80741357803345,14.0,181.44081122155546,20.613,13.78278923034668
59.00944972038269,14.0,181.10133546961578,20.605,13.781813621520996
59.21123647689819,14.0,184.30102316046228,20.605,13.781813621520996
59.41241765022278,14.0,183.97264205873907,20.597,13.779022216796875
59.61343717575073,14.0,183.63316689072897,20.59,13.795741081237793
59.81445002555847,14.0,183.29369231169585,20.583,13.803448677062988
60.01583957672119,13.0,186.4933788407717,20.583,13.803448677062988
60.21695303916931,13.0,186.14277874509253,20.575,13.825275421142578
60.41793155670166,13.0,185.81436796833916,20.567,13.83503246307373
60.61930561065674,13.0,185.56361973805875,20.55,13.561407089233398
60.820460081100464,13.0,187.16346314618846,20.55,13.561407089233398
61.021719217300415,13.0,187.07910435587567,20.508,13.213424682617188
61.22299098968506,13.0,187.1056341928186,20.427,12.657700538635254
61.42407464981079,13.0,187.13216804384743,20.302,12.463464736938477
61.625138998031616,13.0,190.33185871352643,20.302,12.463464736938477
61.82642960548401,13.0,190.21411688004247,20.154,12.808262825012207
62.02785086631775,13.0,189.99655653234635,20.006,13.066841125488281
62.229321002960205,13.0,189.71245644585179,19.881,13.426458358764648
62.43078970909119,13.0,192.91215234965995,19.881,13.426458358764648
62.63273310661316,13.0,190.96166100572108,19.798,13.64343547821045
62.83403730392456,13.0,190.57779700622953,19.761,13.88870620727539
63.03525233268738,13.0,190.16064951825646,19.767,13.983922004699707
63.2364661693573,13.0,189.74354788749375,19.807,14.062155723571777
63.43830943107605,13.0,192.94324267782054,19.807,14.062155723571777
63.63976287841797,13.0,192.5261683194467,19.874,14.083593368530273
63.84140706062317,13.0,192.1312645774439,19.955,14.065192222595215
64.04272651672363,13.0,191.75855436633822,20.041,14.013625144958496
64.24376153945923,13.0,194.95824526202134,20.041,14.013625144958496
64.44493341445923,13.0,194.61882181062705,20.122,13.884820938110352
64.64612317085266,13.0,192.7017183619843,20.19,13.786857604980469
64.84742736816406,13.0,192.41771573651673,20.241,13.666874885559082
65.048654794693,13.0,195.61740394295805,20.241,13.666874885559082
65.25028967857361,13.0,195.3555906141357,20.272,13.577978134155273
65.45232629776001,13.0,195.11590780512967,20.282,13.476553916931152
65.65377521514893,13.0,194.88737854055594,20.271,13.431562423706055
65.85486268997192,13.0,198.0870666870709,20.271,13.431562423706055
66.05628252029419,13.0,197.8695735846532,20.242,13.380814552307129
66.2574110031128,13.0,197.66317551321762,20.198,13.326254844665527
66.45841932296753,13.0,195.85696151200534,20.142,13.316532135009766
66.65944290161133,13.0,199.0566507552432,20.142,13.316532135009766
66.86043906211853,13.0,198.8502532619736,20.08,13.32081127166748
67.06221342086792,13.0,198.63278915524373,20.015,13.338089942932129
67.26340436935425,13.0,198.4042585304955,19.95,13.345500946044922
67.46443581581116,13.0,201.60394816811075,19.95,13.345500946044922
67.66542339324951,13.0,201.36429478694154,19.89,13.37680721282959
67.86690783500671,13.0,201.12466957110996,19.837,13.409801483154297
68.06842064857483,13.0,200.87395020557454,19.792,13.457231521606445
68.2694160938263,13.0,202.4737947009553,19.792,13.457231521606445
68.47068786621094,13.0,202.2230755869918,19.756,13.465874671936035
68.67186141014099,13.0,201.96126232551498,19.729,13.501195907592773
68.87392830848694,13.0,201.6994495711443,19.709,13.503875732421875
69.07585501670837,13.0,201.4265426788756,19.696,13.53759479522705
69.27692103385925,13.0,204.62623003100933,19.696,13.53759479522705
69.47869062423706,13.0,204.3643876419807,19.689,13.522115707397461
69.68035173416138,13.0,204.10254527254492,19.686,13.520334243774414
69.88175415992737,13.0,203.8407029272936,19.686,13.504079818725586
